Periode;Jahr;Halbjahr;Quartal;Monat;Tag;Indikator;Einheit;Status;Produzent;Region / Geschäftspartner;Datentyp;Werte;Sortierkriterium des Indikators
Jahr;1986;;;;;Immobilienpreisindex Wien, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;42,9;AB003C000D000E000F001
Jahr;1986;;;;;IMOP Wien, Preise für Einfamilienhäuser, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;46,0;AB003C000D000E000F001G000
Jahr;1986;;;;;IMOP Wien, Preise für Eigentumswohnungen gesamt, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;42,1;AB003C000D000E000F001G001
Jahr;1986;;;;;IMOP Wien, Preise für neue Eigentumswohnungen, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;47,6;AB003C000D000E000F001G002
Jahr;1986;;;;;IMOP Wien, Preise für gebrauchte Eigentumswohnungen, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;41,2;AB003C000D000E000F001G003
Jahr;1987;;;;;Immobilienpreisindex Wien, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;46,0;AB003C000D000E000F001
Jahr;1987;;;;;IMOP Wien, Preise für Einfamilienhäuser, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;44,8;AB003C000D000E000F001G000
Jahr;1987;;;;;IMOP Wien, Preise für Eigentumswohnungen gesamt, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;46,1;AB003C000D000E000F001G001
Jahr;1987;;;;;IMOP Wien, Preise für neue Eigentumswohnungen, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;64,7;AB003C000D000E000F001G002
Jahr;1987;;;;;IMOP Wien, Preise für gebrauchte Eigentumswohnungen, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;43,0;AB003C000D000E000F001G003
Jahr;1987;;;;;IMOP Wien, Preise für Einfamilienhäuser, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;-1,7;AB004C006D001
Jahr;1987;;;;;IMOP Wien, Preise für Eigentumswohnungen gesamt, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;7,9;AB004C006D002
Jahr;1987;;;;;IMOP Wien, Preise für neue Eigentumswohnungen, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;33,5;AB004C006D003
Jahr;1987;;;;;IMOP Wien, Preise für gebrauchte Eigentumswohnungen, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;3,4;AB004C006D004
Jahr;1988;;;;;Immobilienpreisindex Wien, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;51,3;AB003C000D000E000F001
Jahr;1988;;;;;IMOP Wien, Preise für Einfamilienhäuser, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;58,9;AB003C000D000E000F001G000
Jahr;1988;;;;;IMOP Wien, Preise für Eigentumswohnungen gesamt, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;50,8;AB003C000D000E000F001G001
Jahr;1988;;;;;IMOP Wien, Preise für neue Eigentumswohnungen, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;67,0;AB003C000D000E000F001G002
Jahr;1988;;;;;IMOP Wien, Preise für gebrauchte Eigentumswohnungen, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;48,0;AB003C000D000E000F001G003
Jahr;1988;;;;;Immobilienpreisindex Wien, Veränderung z.Vorjahr in %, Index 2000=100;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;11,5;AB004C006D000
Jahr;1988;;;;;IMOP Wien, Preise für Einfamilienhäuser, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;31,3;AB004C006D001
Jahr;1988;;;;;IMOP Wien, Preise für Eigentumswohnungen gesamt, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;10,0;AB004C006D002
Jahr;1988;;;;;IMOP Wien, Preise für neue Eigentumswohnungen, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;3,6;AB004C006D003
Jahr;1988;;;;;IMOP Wien, Preise für gebrauchte Eigentumswohnungen, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;11,7;AB004C006D004
Jahr;1989;;;;;Immobilienpreisindex Wien, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;60,7;AB003C000D000E000F001
Jahr;1989;;;;;IMOP Wien, Preise für Einfamilienhäuser, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;66,0;AB003C000D000E000F001G000
Jahr;1989;;;;;IMOP Wien, Preise für Eigentumswohnungen gesamt, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;60,3;AB003C000D000E000F001G001
Jahr;1989;;;;;IMOP Wien, Preise für neue Eigentumswohnungen, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;68,2;AB003C000D000E000F001G002
Jahr;1989;;;;;IMOP Wien, Preise für gebrauchte Eigentumswohnungen, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;58,9;AB003C000D000E000F001G003
Jahr;1989;;;;;Immobilienpreisindex Wien, Veränderung z.Vorjahr in %, Index 2000=100;Prozent;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;18,2;AB004C006D000
Jahr;1989;;;;;IMOP Wien, Preise für Einfamilienhäuser, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;12,1;AB004C006D001
Jahr;1989;;;;;IMOP Wien, Preise für Eigentumswohnungen gesamt, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;18,7;AB004C006D002
Jahr;1989;;;;;IMOP Wien, Preise für neue Eigentumswohnungen, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;1,8;AB004C006D003
Jahr;1989;;;;;IMOP Wien, Preise für gebrauchte Eigentumswohnungen, 2000=100 VerVJ%;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;22,7;AB004C006D004
Jahr;1990;;;;;Immobilienpreisindex Wien, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;76,5;AB003C000D000E000F001
Jahr;1990;;;;;IMOP Wien, Preise für Einfamilienhäuser, 2000=100;Index;Weder saisonal noch um Arbeitstage bereinigt;Österreich;Insgesamt;Standard, in Einheiten;75,4;AB003C000D000E000F001G000
