Jahr;Nettojahreseinkommen Arithmetisches Mittel;Nettojahreseinkommen Median
1997;15754;14579
1998;16004;14686
1999;16256;14929
2000;16832;15399
2001;16761;15530
2002;16964;15706
2003;17143;15863
2004;17383;16131
2005;17907;16631
2006;18360;16918
2007;18949;17376
2008;19415;17756
2009;20025;18333
2010;20087;18366
2011;20197;18529
2012;20596;18842
2013;20790;19057
2014;21039;19344
2015;21298;19558
2016;22344;20543
2017;22640;20821
2018;23229;21402
2019;23944;22104
2020;24801;22958
2021;25496;23617
2022;26608;24652
2023;28594;26497
